CLUSTER,R,TOKEN,ROC_AUC
8,0.16246763090850389,recognition,0.5310490803768773
8,0.16243780207904393,object_recognition,0.5310490803768773
8,0.15696585658082965,vision,0.5310490803768773
8,0.1423371536267353,familiarity,0.5310490803768773
8,0.14174846430444346,face,0.5310490803768773
8,0.1366466713296204,visual_perception,0.5310490803768773
8,0.13292638138801555,visual_object,0.5310490803768773
8,0.13154320683091264,perception,0.5310490803768773
8,0.1307211636625147,shape,0.5310490803768773
8,0.13061469855685773,face_recognition,0.5310490803768773
8,0.13036613397788036,visual_angle,0.5310490803768773
8,0.12728363486664362,reading,0.5310490803768773
8,0.12492077867119293,picture,0.5310490803768773
8,0.12011510206227202,naming,0.5310490803768773
8,0.11969018309373247,visual_attention,0.5310490803768773
8,0.11947207599470484,word,0.5310490803768773
8,0.1187739885082702,representation,0.5310490803768773
8,0.11852129765603216,object_perception,0.5310490803768773
8,0.11785369651209834,semantic_processing,0.5310490803768773
8,0.11768789356994908,covert,0.5310490803768773
8,0.111687240314282,retrieval,0.5310490803768773
8,0.110120411063164,fixation,0.5310490803768773
8,0.10944659281564124,eye,0.5310490803768773
8,0.10942349775347444,priming,0.5310490803768773
9,0.12796868864300825,memory,0.5125575961611952
9,0.12023888072105993,remembering,0.5125575961611952
9,0.11970138741379095,episodic_memory,0.5125575961611952
9,0.11959343501174473,retrieval,0.5125575961611952
9,0.1167554014372466,memory_retrieval,0.5125575961611952
9,0.10440476629557567,visual_imagery,0.5125575961611952
9,0.0984852187382456,visual_attention,0.5125575961611952
9,0.09654586969151004,encoding,0.5125575961611952
9,0.09147371493692838,recognition_memory,0.5125575961611952
9,0.09016516608678304,autobiographical_memory,0.5125575961611952
9,0.08987145719167589,recall,0.5125575961611952
9,0.08919383547181799,spatial_attention,0.5125575961611952
9,0.08752584526816719,mental_imagery,0.5125575961611952
9,0.08739932818785827,navigation,0.5125575961611952
9,0.0869299223309355,familiarity,0.5125575961611952
9,0.08679420197083497,source_memory,0.5125575961611952
9,0.0836886711901802,spatial_memory,0.5125575961611952
9,0.083076633196819,episodic_simulation,0.5125575961611952
9,0.08278710676001919,prospection,0.5125575961611952
9,0.08184635145679978,eye,0.5125575961611952
9,0.07952671523642328,vision,0.5125575961611952
9,0.07848117962667778,visual_perception,0.5125575961611952
9,0.07747170725852091,spatial,0.5125575961611952
10,0.2700788218633232,reward,0.5084845866249199
10,0.21832527679317854,reward_processing,0.5084845866249199
10,0.2138939417487931,reward_anticipation,0.5084845866249199
10,0.18740076993520546,monetary_incentive_delay_task,0.5084845866249199
10,0.18289447179617074,anticipation,0.5084845866249199
10,0.1484904690368142,instrumental_conditioning,0.5084845866249199
10,0.13854932850924132,feedback,0.5084845866249199
10,0.13642316022515874,reinforcement_learning,0.5084845866249199
10,0.1269750730613284,reward_learning,0.5084845866249199
10,0.12049155770658795,expectancy,0.5084845866249199
10,0.11113101343187687,loss_anticipation,0.5084845866249199
10,0.10801417460770772,decision_making,0.5084845866249199
10,0.10700379402797064,addiction,0.5084845866249199
10,0.10348348396606784,wanting,0.5084845866249199
10,0.1001064955562726,loss,0.5084845866249199
11,0.13485875477626133,episodic_memory,0.5049205664301062
11,0.1338963750286414,autobiographical_memory,0.5049205664301062
11,0.1274636601403529,memory,0.5049205664301062
11,0.12161190927672595,remembering,0.5049205664301062
11,0.11424941611290358,episodic_simulation,0.5049205664301062
11,0.10721748764589553,retrieval,0.5049205664301062
11,0.10387531359556272,prospection,0.5049205664301062
11,0.097149364724259,memory_retrieval,0.5049205664301062
11,0.09693920674054292,source_memory,0.5049205664301062
11,0.095615869866916,recall,0.5049205664301062
11,0.09128907073083016,recognition_memory,0.5049205664301062
11,0.09014030507305937,declarative_memory,0.5049205664301062
11,0.08861332148357996,theory_mind,0.5049205664301062
11,0.07792932860362012,episodic_future_thinking,0.5049205664301062
11,0.07776594954900495,consciousness,0.5049205664301062
11,0.07401037369087847,memory_process,0.5049205664301062
11,0.07366214951758672,encoding,0.5049205664301062
11,0.07234345899946684,spatial_memory,0.5049205664301062
11,0.0716107971673948,remote_memory,0.5049205664301062
11,0.07098594225222662,encoding_task,0.5049205664301062
11,0.07081248134933447,semantic_memory,0.5049205664301062
11,0.06804612685044932,familiarity,0.5049205664301062
11,0.06766750381615501,thought,0.5049205664301062
11,0.06651773975036313,thinking,0.5049205664301062
12,0.188326597792192,reward,0.5018966939265217
12,0.15125489666446254,reward_processing,0.5018966939265217
12,0.1280160486144224,valence,0.5018966939265217
12,0.12417197733381626,reward_anticipation,0.5018966939265217
12,0.12309588860818454,decision_making,0.5018966939265217
12,0.11098808979523343,autobiographical_memory,0.5018966939265217
12,0.10846020372689112,emotion,0.5018966939265217
12,0.10698364084552636,arousal,0.5018966939265217
12,0.10178179224897413,anticipation,0.5018966939265217
12,0.0984351014251986,social_cognition,0.5018966939265217
12,0.09403259463667928,salience,0.5018966939265217
12,0.0935496728686849,reward_learning,0.5018966939265217
12,0.09288965257904966,prospection,0.5018966939265217
12,0.09126023192595267,mood,0.5018966939265217
12,0.09072999959349798,intertemporal_choice,0.5018966939265217
12,0.08904960187536372,theory_mind,0.5018966939265217
12,0.08745523705459513,expectancy,0.5018966939265217
12,0.08653342164035982,negative_emotion,0.5018966939265217
12,0.08584756029602744,episodic_simulation,0.5018966939265217
12,0.08273363711758615,sadness,0.5018966939265217
12,0.08272860708046027,taste,0.5018966939265217
12,0.08190669065964733,personality,0.5018966939265217
12,0.07928464275606027,emotion_regulation,0.5018966939265217
12,0.07653911313022309,addiction,0.5018966939265217
12,0.07515050358377083,selfreflection,0.5018966939265217
