,PMID,SPLIT,DOMAIN,OBSERVED
211,20036336,discovery,MEMORY,0.4057971014492754
212,20060911,discovery,MEMORY,0.49230769230769234
213,20089812,discovery,MEMORY,0.3666666666666667
214,20097294,discovery,MEMORY,0.3516483516483516
215,20123031,discovery,MEMORY,0.3389830508474576
216,20132802,discovery,MEMORY,0.273972602739726
217,20147540,discovery,MEMORY,0.40336134453781514
218,20154013,discovery,MEMORY,0.2068965517241379
219,20156568,discovery,MEMORY,0.3492063492063492
220,20157009,discovery,MEMORY,0.5079365079365079
221,20227458,discovery,MEMORY,0.31034482758620685
222,20368706,discovery,MEMORY,0.4
223,20420766,discovery,MEMORY,0.4285714285714286
224,20452398,discovery,MEMORY,0.2545454545454545
225,20463193,discovery,MEMORY,0.13953488372093026
226,20471139,discovery,MEMORY,0.3653846153846154
227,20483373,discovery,MEMORY,0.2962962962962963
228,20483375,discovery,MEMORY,0.13636363636363635
229,20484643,discovery,MEMORY,0.45614035087719296
230,20510373,discovery,MEMORY,0.34375
231,20521852,discovery,MEMORY,0.3853211009174312
232,20525743,discovery,MEMORY,0.29850746268656714
233,20542121,discovery,MEMORY,0.4838709677419355
234,20572197,discovery,MEMORY,0.18181818181818177
235,20599362,discovery,MEMORY,0.33333333333333337
236,20620024,discovery,MEMORY,0.25396825396825395
237,20634303,discovery,MEMORY,0.29729729729729726
238,20637290,discovery,MEMORY,0.5142857142857142
239,20668196,discovery,MEMORY,0.27118644067796616
240,20688877,discovery,MEMORY,0.3870967741935484
241,20702070,discovery,MEMORY,0.3655913978494624
242,20703221,discovery,MEMORY,0.3880597014925373
243,20708906,discovery,MEMORY,0.2647058823529411
244,20804848,discovery,MEMORY,0.24390243902439024
245,20807058,discovery,MEMORY,0.4838709677419355
246,20809213,discovery,MEMORY,0.3921568627450981
247,20820793,discovery,MEMORY,0.2692307692307693
248,20864126,discovery,MEMORY,0.19047619047619047
249,20932721,discovery,MEMORY,0.16666666666666663
250,20957158,discovery,MEMORY,0.29885057471264365
251,20974213,discovery,MEMORY,0.23529411764705888
252,21050725,discovery,MEMORY,0.3384615384615385
253,21078303,discovery,MEMORY,0.39344262295081966
254,21088708,discovery,MEMORY,0.26315789473684215
255,21130141,discovery,MEMORY,0.38596491228070173
256,21159973,discovery,MEMORY,0.28
257,21168512,discovery,MEMORY,0.25806451612903225
258,21220074,discovery,MEMORY,0.4
259,21259387,discovery,MEMORY,0.525
260,21264651,discovery,MEMORY,0.28915662650602414
261,21284912,discovery,MEMORY,0.42553191489361697
262,21330468,discovery,MEMORY,0.29850746268656714
263,21334445,discovery,MEMORY,0.40816326530612246
264,21335014,discovery,MEMORY,0.34730538922155685
265,21356267,discovery,MEMORY,0.3829787234042553
266,21382385,discovery,MEMORY,0.3870967741935484
267,21406159,discovery,MEMORY,0.2857142857142857
268,21425397,discovery,MEMORY,0.24137931034482762
269,21436048,discovery,MEMORY,0.410958904109589
270,21484952,discovery,MEMORY,0.3278688524590164
271,21494597,discovery,MEMORY,0.38235294117647056
272,21531077,discovery,MEMORY,0.2666666666666667
273,21531384,discovery,MEMORY,0.3380281690140845
274,21546094,discovery,MEMORY,0.2962962962962963
275,21568639,discovery,MEMORY,0.36986301369863017
276,21589884,discovery,MEMORY,0.4242424242424242
277,21609969,discovery,MEMORY,0.2622950819672131
278,21621549,discovery,MEMORY,0.5974025974025974
279,21677175,discovery,MEMORY,0.5306122448979591
280,21677186,discovery,MEMORY,0.40384615384615385
281,21683723,discovery,MEMORY,0.3908045977011494
282,21697388,discovery,MEMORY,0.2142857142857143
283,21722740,discovery,MEMORY,0.430379746835443
284,21764567,discovery,MEMORY,0.1923076923076923
285,21768385,discovery,MEMORY,0.29166666666666663
286,21807415,discovery,MEMORY,0.17021276595744683
287,21810986,discovery,MEMORY,0.41237113402061853
288,21826762,discovery,MEMORY,0.2962962962962963
289,21914483,discovery,MEMORY,0.56
290,21924363,discovery,MEMORY,0.18604651162790697
291,21935483,discovery,MEMORY,0.4444444444444444
292,21938758,discovery,MEMORY,0.375
293,21945346,discovery,MEMORY,0.33576642335766427
294,21955457,discovery,MEMORY,0.24561403508771928
295,21957237,discovery,MEMORY,0.3548387096774194
296,21998038,discovery,MEMORY,0.37777777777777777
297,22021653,discovery,MEMORY,0.23529411764705888
298,22042765,discovery,MEMORY,0.31034482758620685
299,22049410,discovery,MEMORY,0.29032258064516125
300,22065863,discovery,MEMORY,0.3414634146341463
301,22079921,discovery,MEMORY,0.3728813559322034
302,22131970,discovery,MEMORY,0.3125
303,22140014,discovery,MEMORY,0.1428571428571429
304,22156722,discovery,MEMORY,0.43333333333333335
305,22198970,discovery,MEMORY,0.6031746031746033
306,22216252,discovery,MEMORY,0.2941176470588235
307,22230115,discovery,MEMORY,0.5319148936170213
308,22349799,discovery,MEMORY,0.4776119402985075
309,22378896,discovery,MEMORY,0.39344262295081966
310,22398297,discovery,MEMORY,0.2727272727272727
311,22417223,discovery,MEMORY,0.3943661971830986
312,22418015,discovery,MEMORY,0.4528301886792453
313,22446298,discovery,MEMORY,0.2816901408450704
314,22510724,discovery,MEMORY,0.28125
315,22521875,discovery,MEMORY,0.17391304347826086
316,22564476,discovery,MEMORY,0.24561403508771928
317,22573677,discovery,MEMORY,0.3833333333333333
318,22586106,discovery,MEMORY,0.339622641509434
319,22626918,discovery,MEMORY,0.368421052631579
320,22659107,discovery,MEMORY,0.36734693877551017
321,22688567,discovery,MEMORY,0.30188679245283023
322,22716999,discovery,MEMORY,0.30434782608695654
323,22720021,discovery,MEMORY,0.27450980392156865
324,22770543,discovery,MEMORY,0.23809523809523814
325,22770722,discovery,MEMORY,0.13636363636363635
326,22787032,discovery,MEMORY,0.2692307692307693
327,22791801,discovery,MEMORY,0.23188405797101452
328,22796982,discovery,MEMORY,0.5
329,22807169,discovery,MEMORY,0.5588235294117647
330,22814368,discovery,MEMORY,0.34615384615384615
331,22815515,discovery,MEMORY,0.35460992907801414
332,22819968,discovery,MEMORY,0.26190476190476186
333,22840336,discovery,MEMORY,0.24137931034482762
334,22846335,discovery,MEMORY,0.6470588235294117
335,22879350,discovery,MEMORY,0.4155844155844156
336,22902538,discovery,MEMORY,0.40384615384615385
337,22956667,discovery,MEMORY,0.28
338,22956672,discovery,MEMORY,0.2465753424657534
339,22981810,discovery,MEMORY,0.3880597014925373
340,22984460,discovery,MEMORY,0.32183908045977017
341,23026757,discovery,MEMORY,0.4363636363636364
342,23031250,discovery,MEMORY,0.23076923076923073
343,23056309,discovery,MEMORY,0.3157894736842105
344,23056477,discovery,MEMORY,0.2666666666666667
345,23056533,discovery,MEMORY,0.25
346,23071546,discovery,MEMORY,0.41666666666666663
347,23107380,discovery,MEMORY,0.2545454545454545
348,23137946,discovery,MEMORY,0.4130434782608695
349,23149036,discovery,MEMORY,0.35820895522388063
350,23160815,discovery,MEMORY,0.326530612244898
351,23174403,discovery,MEMORY,0.345679012345679
352,23209584,discovery,MEMORY,0.19672131147540983
353,23245776,discovery,MEMORY,0.05128205128205132
354,23251595,discovery,MEMORY,0.33333333333333337
355,23284783,discovery,MEMORY,0.21276595744680848
356,23292620,discovery,MEMORY,0.34285714285714286
357,23301153,discovery,MEMORY,0.52
358,23324559,discovery,MEMORY,0.2941176470588235
359,23346054,discovery,MEMORY,0.3529411764705882
360,23352831,discovery,MEMORY,0.16666666666666663
361,23382516,discovery,MEMORY,0.2716049382716049
362,23404748,discovery,MEMORY,0.42105263157894735
363,23408440,discovery,MEMORY,0.3414634146341463
364,23436504,discovery,MEMORY,0.5818181818181818
365,23437284,discovery,MEMORY,0.2325581395348837
366,23440005,discovery,MEMORY,0.3466666666666667
367,23459220,discovery,MEMORY,0.37037037037037035
368,23483523,discovery,MEMORY,0.3529411764705882
369,23497150,discovery,MEMORY,0.5714285714285714
370,23501052,discovery,MEMORY,0.3571428571428571
371,23576810,discovery,MEMORY,0.3561643835616438
372,23602923,discovery,MEMORY,0.4137931034482759
373,23630602,discovery,MEMORY,0.34615384615384615
374,23651708,discovery,MEMORY,0.4
375,23653601,discovery,MEMORY,0.4285714285714286
376,23690582,discovery,MEMORY,0.2857142857142857
377,23691102,discovery,MEMORY,0.05405405405405406
378,23707901,discovery,MEMORY,0.25
379,23715092,discovery,MEMORY,0.5454545454545454
380,23715718,discovery,MEMORY,0.21276595744680848
381,23739982,discovery,MEMORY,0.3589743589743589
382,23761748,discovery,MEMORY,0.24561403508771928
383,23770536,discovery,MEMORY,0.360655737704918
384,23773060,discovery,MEMORY,0.2941176470588235
385,23800464,discovery,MEMORY,0.2545454545454545
386,23860750,discovery,MEMORY,0.3695652173913043
387,23861215,discovery,MEMORY,0.5
388,23888131,discovery,MEMORY,0.42105263157894735
389,23890839,discovery,MEMORY,0.2727272727272727
390,23936055,discovery,MEMORY,0.35593220338983056
391,23959199,discovery,MEMORY,0.2666666666666667
392,23978654,discovery,MEMORY,0.28846153846153844
393,24099848,discovery,MEMORY,0.31999999999999995
394,24128307,discovery,MEMORY,0.34615384615384615
395,24146643,discovery,MEMORY,0.33644859813084116
396,24163364,discovery,MEMORY,0.29729729729729726
397,24167499,discovery,MEMORY,0.19999999999999996
398,24191026,discovery,MEMORY,0.18604651162790697
399,24193372,discovery,MEMORY,0.4347826086956522
400,24224044,discovery,MEMORY,0.3414634146341463
401,24283491,discovery,MEMORY,0.4057971014492754
402,24296331,discovery,MEMORY,0.3296703296703297
403,24321557,discovery,MEMORY,0.5283018867924528
404,24348363,discovery,MEMORY,0.25
405,24388797,discovery,MEMORY,0.2222222222222222
406,24399958,discovery,MEMORY,0.46846846846846846
407,24408956,discovery,MEMORY,0.38961038961038963
408,24411473,discovery,MEMORY,0.41509433962264153
409,24427267,discovery,MEMORY,0.4285714285714286
410,24439303,discovery,MEMORY,0.09302325581395354
411,24447769,discovery,MEMORY,0.30434782608695654
412,24465375,discovery,MEMORY,0.2857142857142857
413,24465469,discovery,MEMORY,0.3548387096774194
414,24486613,discovery,MEMORY,0.5454545454545454
415,24505434,discovery,MEMORY,0.24
416,24576686,discovery,MEMORY,0.37037037037037035
417,24578016,discovery,MEMORY,0.2033898305084746
418,24598769,discovery,MEMORY,0.2857142857142857
419,24614074,discovery,MEMORY,0.2857142857142857
420,24639328,discovery,MEMORY,0.48484848484848486
421,24683513,discovery,MEMORY,0.410958904109589
422,24767950,discovery,MEMORY,0.3076923076923077
423,24904331,discovery,MEMORY,0.2696629213483146
424,24990479,discovery,MEMORY,0.3076923076923077
425,25003028,discovery,MEMORY,0.18604651162790697
426,25068108,discovery,MEMORY,0.33333333333333337
427,25078102,discovery,MEMORY,0.36585365853658536
428,25103087,discovery,MEMORY,0.3793103448275862
429,25109665,discovery,MEMORY,0.33333333333333337
430,25149192,discovery,MEMORY,0.4
431,25155295,discovery,MEMORY,0.5333333333333333
432,25172156,discovery,MEMORY,0.36734693877551017
433,25173075,discovery,MEMORY,0.35820895522388063
434,25177285,discovery,MEMORY,0.3484848484848485
435,25220190,discovery,MEMORY,0.2666666666666667
436,25284303,discovery,MEMORY,0.3137254901960784
437,25286145,discovery,MEMORY,0.3132530120481928
438,25305568,discovery,MEMORY,0.5079365079365079
439,25307137,discovery,MEMORY,0.5135135135135135
440,25309392,discovery,MEMORY,0.4444444444444444
441,25361755,discovery,MEMORY,0.37681159420289856
442,25396729,discovery,MEMORY,0.39344262295081966
443,25505392,discovery,MEMORY,0.2909090909090909
444,25515312,discovery,MEMORY,0.30188679245283023
445,25527821,discovery,MEMORY,0.3448275862068966
446,25533973,discovery,MEMORY,0.3870967741935484
447,25557180,discovery,MEMORY,0.36734693877551017
448,25563230,discovery,MEMORY,0.3555555555555555
449,25573396,discovery,MEMORY,0.2727272727272727
450,25600157,discovery,MEMORY,0.25531914893617025
451,25610773,discovery,MEMORY,0.4137931034482759
452,25629899,discovery,MEMORY,0.33333333333333337
453,25666311,discovery,MEMORY,0.26086956521739135
454,25679198,discovery,MEMORY,0.17391304347826086
455,25698731,discovery,MEMORY,0.5789473684210527
456,25698758,discovery,MEMORY,0.44897959183673475
457,25765256,discovery,MEMORY,0.22580645161290325
458,25776217,discovery,MEMORY,0.3111111111111111
459,25816069,discovery,MEMORY,0.3389830508474576
460,25824306,discovery,MEMORY,0.3157894736842105
461,25826338,discovery,MEMORY,0.3902439024390244
462,25844311,discovery,MEMORY,0.21739130434782605
463,25852527,discovery,MEMORY,0.29729729729729726
464,25859660,discovery,MEMORY,0.2807017543859649
465,25913061,discovery,MEMORY,0.26415094339622647
466,25925269,discovery,MEMORY,0.29850746268656714
467,25943794,discovery,MEMORY,0.3076923076923077
468,25946334,discovery,MEMORY,0.29850746268656714
469,25978933,discovery,MEMORY,0.33333333333333337
470,25998492,discovery,MEMORY,0.39344262295081966
471,26004787,discovery,MEMORY,0.3389830508474576
472,26016684,discovery,MEMORY,0.052631578947368474
473,26040978,discovery,MEMORY,0.3278688524590164
474,26052275,discovery,MEMORY,0.29166666666666663
475,26071623,discovery,MEMORY,0.24489795918367352
476,26124712,discovery,MEMORY,0.28
477,26134642,discovery,MEMORY,0.41463414634146345
478,26178381,discovery,MEMORY,0.25806451612903225
479,26183689,discovery,MEMORY,0.2222222222222222
480,26184011,discovery,MEMORY,0.17021276595744683
481,26206251,discovery,MEMORY,0.4040404040404041
482,26219987,discovery,MEMORY,0.1777777777777778
483,26236222,discovery,MEMORY,0.47619047619047616
484,26238968,discovery,MEMORY,0.44067796610169496
485,26247910,discovery,MEMORY,0.37037037037037035
486,26338992,discovery,MEMORY,0.09302325581395354
487,26363299,discovery,MEMORY,0.2666666666666667
488,26371455,discovery,MEMORY,0.25
489,26376180,discovery,MEMORY,0.16000000000000003
490,26496204,discovery,MEMORY,0.27586206896551724
491,26520830,discovery,MEMORY,0.3157894736842105
492,26538342,discovery,MEMORY,0.3157894736842105
493,26559474,discovery,MEMORY,0.4155844155844156
494,26585221,discovery,MEMORY,0.13953488372093026
495,26603378,discovery,MEMORY,0.09756097560975607
496,26718333,discovery,MEMORY,0.19047619047619047
497,26769550,discovery,MEMORY,0.43333333333333335
498,26778366,discovery,MEMORY,0.36734693877551017
499,26781519,discovery,MEMORY,0.19512195121951215
500,26836143,discovery,MEMORY,0.29166666666666663
501,26844811,discovery,MEMORY,0.5142857142857142
502,26874181,discovery,MEMORY,0.5205479452054795
503,26900967,discovery,MEMORY,0.3571428571428571
504,26901360,discovery,MEMORY,0.2857142857142857
505,26909322,discovery,MEMORY,0.33333333333333337
506,26944859,discovery,MEMORY,0.1923076923076923
507,27011015,discovery,MEMORY,0.3384615384615385
508,27015710,discovery,MEMORY,0.38383838383838387
509,27017423,discovery,MEMORY,0.2622950819672131
510,27082043,discovery,MEMORY,0.3913043478260869
511,27138794,discovery,MEMORY,0.4363636363636364
512,27142051,discovery,MEMORY,0.23809523809523814
513,27148002,discovery,MEMORY,0.46875
514,27171178,discovery,MEMORY,0.38235294117647056
515,27184985,discovery,MEMORY,0.31034482758620685
516,27207909,discovery,MEMORY,0.379746835443038
517,27239046,discovery,MEMORY,0.16000000000000003
518,27252633,discovery,MEMORY,0.23076923076923073
519,27278792,discovery,MEMORY,0.31746031746031744
520,27325442,discovery,MEMORY,0.3614457831325302
521,27329532,discovery,MEMORY,0.33333333333333337
522,27351600,discovery,MEMORY,0.14634146341463417
523,27418025,discovery,MEMORY,0.2692307692307693
524,27434492,discovery,MEMORY,0.2909090909090909
525,27448273,discovery,MEMORY,0.20833333333333337
526,27504262,discovery,MEMORY,0.32352941176470584
527,27559724,discovery,MEMORY,0.29268292682926833
528,27562779,discovery,MEMORY,0.38235294117647056
529,27564058,discovery,MEMORY,0.35789473684210527
530,27592810,discovery,MEMORY,0.5
531,27592811,discovery,MEMORY,0.38596491228070173
532,27633185,discovery,MEMORY,0.13043478260869568
533,27645501,discovery,MEMORY,0.3448275862068966
534,27693614,discovery,MEMORY,0.2571428571428571
535,27697593,discovery,MEMORY,0.3392857142857143
536,27709512,discovery,MEMORY,0.5
537,27713000,discovery,MEMORY,0.5
538,27717213,discovery,MEMORY,0.42666666666666664
539,27747152,discovery,MEMORY,0.339622641509434
540,27757820,discovery,MEMORY,0.2909090909090909
541,27766641,discovery,MEMORY,0.4130434782608695
542,27773357,discovery,MEMORY,0.3513513513513513
543,27774695,discovery,MEMORY,0.3820224719101124
544,27815989,discovery,MEMORY,0.18604651162790697
545,27933668,discovery,MEMORY,0.2857142857142857
546,27987539,discovery,MEMORY,0.24561403508771928
547,27989405,discovery,MEMORY,0.052631578947368474
548,27994546,discovery,MEMORY,0.26415094339622647
549,28045980,discovery,MEMORY,0.3137254901960784
550,28066207,discovery,MEMORY,0.19047619047619047
551,28093279,discovery,MEMORY,0.3529411764705882
552,28159685,discovery,MEMORY,0.410958904109589
553,28161309,discovery,MEMORY,0.20408163265306123
554,28180076,discovery,MEMORY,0.4242424242424242
555,28220065,discovery,MEMORY,0.4242424242424242
556,28232064,discovery,MEMORY,0.21276595744680848
557,28256199,discovery,MEMORY,0.40963855421686746
558,28271290,discovery,MEMORY,0.09999999999999998
559,28327107,discovery,MEMORY,0.2622950819672131
560,28371658,discovery,MEMORY,0.33333333333333337
561,28417219,discovery,MEMORY,0.2666666666666667
562,28456521,discovery,MEMORY,0.4897959183673469
563,28477499,discovery,MEMORY,0.25
