,LOSS
250,0.6147046685218811
251,0.6140715479850769
252,0.6143031716346741
253,0.6148868799209595
254,0.6160558462142944
255,0.6145675182342529
256,0.6158492565155029
257,0.6166697144508362
258,0.6157408356666565
259,0.6159114837646484
260,0.6158975958824158
261,0.6155964732170105
262,0.6165026426315308
263,0.6146969795227051
264,0.6153695583343506
265,0.6150726079940796
266,0.6167953014373779
267,0.6143949031829834
268,0.6147757172584534
269,0.6162035465240479
270,0.6144143342971802
271,0.615329921245575
272,0.6144356727600098
273,0.6140754222869873
274,0.6158031225204468
275,0.6163941621780396
276,0.6157360076904297
277,0.6157494187355042
278,0.6151867508888245
279,0.613608181476593
280,0.6133628487586975
281,0.61395663022995
282,0.6130010485649109
283,0.6162639856338501
284,0.6170591711997986
285,0.6146971583366394
286,0.6144381761550903
287,0.6170937418937683
288,0.6157237887382507
289,0.6149170398712158
290,0.6152231097221375
291,0.6176541447639465
292,0.6150250434875488
293,0.61562579870224
294,0.6160908341407776
295,0.6160368323326111
296,0.6152166724205017
297,0.6165249943733215
298,0.6164916157722473
299,0.6144035458564758
300,0.6162846684455872
301,0.6149753928184509
302,0.6148841381072998
303,0.6158699989318848
304,0.6137018799781799
305,0.6141722798347473
306,0.6129211783409119
307,0.6149262189865112
308,0.6143603324890137
309,0.6141353845596313
310,0.6150331497192383
311,0.6143556833267212
312,0.616118311882019
313,0.6156248450279236
314,0.6150630712509155
315,0.6153959035873413
316,0.6151913404464722
317,0.6155528426170349
318,0.6154131889343262
319,0.6137668490409851
320,0.6153222918510437
321,0.6159070134162903
322,0.6145638823509216
323,0.6146113872528076
324,0.6161646842956543
325,0.614529550075531
326,0.6164146065711975
327,0.6176759004592896
328,0.613794207572937
329,0.6149613261222839
330,0.6149362921714783
331,0.6155466437339783
332,0.6139059662818909
333,0.615719735622406
334,0.6160477995872498
335,0.6138508319854736
336,0.6131767630577087
337,0.6168420910835266
338,0.6148515343666077
339,0.6154237389564514
340,0.6144506931304932
341,0.6155105233192444
342,0.6152949333190918
343,0.6145456433296204
344,0.6168822050094604
345,0.6161524057388306
346,0.61629718542099
347,0.6156986951828003
348,0.6145889759063721
349,0.6146305799484253
350,0.6144582629203796
351,0.612716555595398
352,0.6153392195701599
353,0.6156255602836609
354,0.6149412989616394
355,0.6142200231552124
356,0.6147902607917786
357,0.6144841909408569
358,0.6128299832344055
359,0.6155531406402588
360,0.6150112748146057
361,0.6140011548995972
362,0.614010751247406
363,0.6159517168998718
364,0.6163797378540039
365,0.6147276163101196
366,0.6145954728126526
367,0.6144968867301941
368,0.6143882870674133
369,0.6152365207672119
370,0.6142915487289429
371,0.6129583120346069
372,0.6162300705909729
373,0.6149159073829651
374,0.6143996119499207
375,0.6143683791160583
376,0.6150044798851013
377,0.6150347590446472
378,0.6171259880065918
379,0.616261899471283
380,0.6150741577148438
381,0.6148095726966858
382,0.615495502948761
383,0.6154757738113403
384,0.6158169507980347
385,0.6155035495758057
386,0.6152178645133972
387,0.6151571869850159
388,0.6143919229507446
389,0.6163610816001892
390,0.6185342669487
391,0.613335132598877
392,0.6147850155830383
393,0.6148340702056885
394,0.616280734539032
395,0.6156595945358276
396,0.6139930486679077
397,0.6158353686332703
398,0.6163936257362366
399,0.6144694089889526
400,0.6139878630638123
401,0.614688515663147
402,0.6162640452384949
403,0.6154530644416809
404,0.6150882840156555
405,0.614363968372345
406,0.6142231225967407
407,0.6164563894271851
408,0.6152961850166321
409,0.6151198744773865
410,0.6157214045524597
411,0.6151940226554871
412,0.61562579870224
413,0.6161976456642151
414,0.6175228953361511
415,0.6164451241493225
416,0.6143497824668884
417,0.6139965653419495
418,0.6145902276039124
419,0.6149527430534363
420,0.6143011450767517
421,0.6139272451400757
422,0.6154258847236633
423,0.6164339780807495
424,0.6124076247215271
425,0.6165925860404968
426,0.6169221997261047
427,0.6143665909767151
428,0.6149690747261047
429,0.6150410771369934
430,0.61614990234375
431,0.6147758364677429
432,0.6145757436752319
433,0.6142565608024597
434,0.6165650486946106
435,0.6165034174919128
436,0.6150027513504028
437,0.6147105693817139
438,0.614910900592804
439,0.6151126027107239
440,0.6163392066955566
441,0.6181867122650146
442,0.6148543953895569
443,0.6145004630088806
444,0.6160451769828796
445,0.613645076751709
446,0.615578293800354
447,0.6144097447395325
448,0.6155890226364136
449,0.6147159337997437
450,0.616522490978241
451,0.6158334612846375
452,0.6140370965003967
453,0.6136486530303955
454,0.6156476140022278
455,0.6152505278587341
456,0.6163819432258606
457,0.6155857443809509
458,0.6145263314247131
459,0.6156414151191711
460,0.6145294904708862
461,0.6159756183624268
462,0.6142253279685974
463,0.6154277324676514
464,0.6142501831054688
465,0.6141480207443237
466,0.6158588528633118
467,0.6152973771095276
468,0.6149941682815552
469,0.6150792837142944
470,0.6146641969680786
471,0.6147759556770325
472,0.6143345832824707
473,0.6150559782981873
474,0.6149671673774719
475,0.6144458055496216
476,0.6159828305244446
477,0.6154657006263733
478,0.6134597659111023
479,0.6158022880554199
480,0.6138080358505249
481,0.6139432191848755
482,0.6147779226303101
483,0.6122930645942688
484,0.6179293394088745
485,0.6160777807235718
486,0.6155695915222168
487,0.6165473461151123
488,0.6150195002555847
489,0.6146911978721619
490,0.6159511208534241
491,0.6155917644500732
492,0.6159433126449585
493,0.6146913766860962
494,0.6138212084770203
495,0.6135109663009644
496,0.6153708100318909
497,0.6134199500083923
498,0.6167024374008179
499,0.614947497844696
