PMID,SPLIT,DOMAIN,OBSERVED
11549616,test,COGNITION,1.2016425748530708
11549618,test,COGNITION,1.1014300111254935
11559855,test,COGNITION,1.1662966351099069
11576194,test,COGNITION,1.1734807743778835
11580903,test,COGNITION,1.2095668763967493
11590113,test,COGNITION,1.0470536703038633
11691685,test,COGNITION,1.1469094469303016
11739265,test,COGNITION,1.1293279718271259
11771973,test,COGNITION,1.1338509334826214
12417766,test,COGNITION,1.1708652273394866
12429401,test,COGNITION,1.1567334853970817
12433382,test,COGNITION,1.2163528930885876
12477708,test,COGNITION,1.2028093116232206
12547465,test,COGNITION,1.0650011297198503
12566282,test,COGNITION,1.1297241232088224
12589893,test,COGNITION,1.0445716550564836
12599276,test,COGNITION,1.2065780902986303
12667849,test,COGNITION,1.1302160069208387
12672965,test,COGNITION,1.1443604347385254
12855357,test,COGNITION,1.1392926249812665
12867520,test,COGNITION,1.074173567957952
12880846,test,COGNITION,1.123122755977052
12948712,test,COGNITION,1.163950698835138
14568477,test,COGNITION,1.1035095391400267
14597035,test,COGNITION,1.143264250085083
14642464,test,COGNITION,1.2478645939981778
14683715,test,COGNITION,1.096772999602685
14691061,test,COGNITION,1.11974977770813
14699419,test,COGNITION,1.1673396777925713
14730305,test,COGNITION,1.1607312271935553
14741648,test,COGNITION,1.13768348941708
15069021,test,COGNITION,1.0891392948439316
15072672,test,COGNITION,1.2282702467515407
15193581,test,COGNITION,1.193655064582611
15193603,test,COGNITION,1.1923760197790372
15275903,test,COGNITION,1.2010799607386744
15275913,test,COGNITION,1.196068052185233
15325411,test,COGNITION,1.1379043646823745
15342438,test,COGNITION,1.1728284730363312
15381021,test,COGNITION,1.2131544389210691
15488409,test,COGNITION,1.178340769976499
15489267,test,COGNITION,1.098464512259196
15511653,test,COGNITION,1.24140644960612
15528101,test,COGNITION,1.1582297601636604
15541071,test,COGNITION,1.227347989085021
15543553,test,COGNITION,1.2013003292086897
15593271,test,COGNITION,1.1873592160499673
15616133,test,COGNITION,1.1707313672581336
15681032,test,COGNITION,1.210571925847707
15705612,test,COGNITION,1.1086152949875077
15721187,test,COGNITION,1.2205381166124567
15728740,test,COGNITION,1.2310325871386278
15734350,test,COGNITION,1.1695570561792008
15766766,test,COGNITION,1.162116854816595
15784430,test,COGNITION,1.1870978922640343
15808995,test,COGNITION,1.0400420177391263
15850740,test,COGNITION,1.1722494077767192
15862203,test,COGNITION,1.243840303395767
15917482,test,COGNITION,1.208474324020897
15922156,test,COGNITION,1.1838358240210043
15930384,test,COGNITION,1.1943335994890212
16023375,test,COGNITION,1.0587957657940534
16045067,test,COGNITION,1.183897945603641
16095920,test,COGNITION,1.2014741666849795
16125977,test,COGNITION,1.1709951949738835
16199012,test,COGNITION,1.1596740069610332
16199830,test,COGNITION,1.2217186610614486
16253524,test,COGNITION,1.1808231540416585
16292319,test,COGNITION,1.1381520280841952
16300969,test,COGNITION,1.194866302321565
16307253,test,COGNITION,1.2112179397321532
16364137,test,COGNITION,1.0713447127997004
16400158,test,COGNITION,1.1881870009537343
16452666,test,COGNITION,1.158225498682068
16492377,test,COGNITION,1.1364049678488017
16537568,test,COGNITION,1.1464712615814352
16584892,test,COGNITION,1.2003291645858831
16585053,test,COGNITION,1.207981173339291
16731517,test,COGNITION,1.1971691845453456
16794848,test,COGNITION,1.2051521126265896
16860474,test,COGNITION,1.0988974449434856
16912129,test,COGNITION,1.1305870173437333
16938439,test,COGNITION,1.2005577050688123
16944492,test,COGNITION,1.1467419788988673
17012294,test,COGNITION,1.168608966640843
17071109,test,COGNITION,1.1893517646058804
17133385,test,COGNITION,1.1122133597965167
17150375,test,COGNITION,1.0880364188594938
17188464,test,COGNITION,1.2105383350258176
17196834,test,COGNITION,1.2012868326519834
17204433,test,COGNITION,1.1751732263272223
17214564,test,COGNITION,1.2219047289745104
17217932,test,COGNITION,1.1902549286938957
