LABEL,N_COMPONENTS,MAX_LIST_LEN,TP,FP,TN,FN,TPR,TNR,PPV,NPV,F1,ACCURACY,ROC_AUC,LOG_LOSS
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.5403721403114856,11.434706911499074
POSITIVE_VALENCE,5,25,0.0,0.0,3336.0,2110.0,0.0,1.0,0.0,0.612559676827029,0.0,0.612559676827029,0.5237262322843147,13.381714688443177
COGNITIVE_SYSTEMS,5,25,3.0,8.0,3200.0,2235.0,0.0013404825737265416,0.9975062344139651,0.2727272727272727,0.5887764489420423,0.0026678523788350376,0.5881380829966948,0.47053424581976694,14.225207831539498
SOCIAL_PROCESSES,5,25,0.0,1.0,3381.0,2064.0,0.0,0.9997043169722057,0.0,0.6209366391184573,0.0,0.6208226221079691,0.4914300629415189,13.096322815844287
AROUSAL_REGULATION,5,25,0.0,0.0,4545.0,901.0,0.0,1.0,0.0,0.8345574733749541,0.0,0.8345574733749541,0.5295734234910728,5.714182433311517
SENSORIMOTOR_SYSTEMS,5,25,0.0,0.0,3282.0,2164.0,0.0,1.0,0.0,0.6026441424899008,0.0,0.6026441424899008,0.52405773495941,13.724185111749305
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.49798997583708127,11.434706911499074
POSITIVE_VALENCE,5,25,1.0,0.0,3336.0,2109.0,0.00047393364928909954,1.0,1.0,0.61267217630854,0.0009474182851729038,0.6127432978332721,0.5199432160432791,13.375372643567138
COGNITIVE_SYSTEMS,5,25,1.0,3.0,3205.0,2237.0,0.00044682752457551384,0.9990648379052369,0.25,0.5889378904814406,0.0008920606601248885,0.5886889460154242,0.4932486979601934,14.206180962796958
SOCIAL_PROCESSES,5,25,0.0,1.0,3381.0,2064.0,0.0,0.9997043169722057,0.0,0.6209366391184573,0.0,0.6208226221079691,0.4888791521690299,13.096322815844287
AROUSAL_REGULATION,5,25,0.0,0.0,4545.0,901.0,0.0,1.0,0.0,0.8345574733749541,0.0,0.8345574733749541,0.49701175444958484,5.714182433311517
SENSORIMOTOR_SYSTEMS,5,25,1.0,1.0,3281.0,2163.0,0.0004621072088724584,0.9996953077391835,0.5,0.6026818515797208,0.0009233610341643582,0.6026441424899008,0.4962811070523023,13.724185258572192
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.4866411990020597,11.434706911499074
POSITIVE_VALENCE,5,25,0.0,0.0,3336.0,2110.0,0.0,1.0,0.0,0.612559676827029,0.0,0.612559676827029,0.43176953697705345,13.381714688443177
COGNITIVE_SYSTEMS,5,25,8.0,6.0,3202.0,2230.0,0.0035746201966041107,0.9981296758104738,0.5714285714285714,0.5894698085419735,0.007104795737122558,0.5894234300403967,0.5082505003131136,14.18081322376145
SOCIAL_PROCESSES,5,25,1.0,1.0,3381.0,2063.0,0.00048449612403100775,0.9997043169722057,0.5,0.6210506980161646,0.000968054211035818,0.6210062431142123,0.5075886246842609,13.089980770968248
AROUSAL_REGULATION,5,25,0.0,0.0,4545.0,901.0,0.0,1.0,0.0,0.8345574733749541,0.0,0.8345574733749541,0.5013349059656242,5.714182433311517
SENSORIMOTOR_SYSTEMS,5,25,0.0,0.0,3282.0,2164.0,0.0,1.0,0.0,0.6026441424899008,0.0,0.6026441424899008,0.4327980380296492,13.724185111749305
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.5117134814653773,11.434706911499074
