LABEL,N_COMPONENTS,MAX_LIST_LEN,TP,FP,TN,FN,TPR,TNR,PPV,NPV,F1,ACCURACY,ROC_AUC,LOG_LOSS
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5692093737414419,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6299495521282807,4.515535951740068
DEPRESSIVE,8,25,32.0,33.0,4353.0,1028.0,0.03018867924528302,0.9924760601915185,0.49230769230769234,0.808957442854488,0.05688888888888889,0.8051781123760559,0.6642286993779523,6.728914458633021
ANXIETY,8,25,12.0,8.0,4673.0,753.0,0.01568627450980392,0.9982909634693442,0.6,0.8612237375598968,0.030573248407643312,0.8602644142489901,0.6650379157573447,4.826297325249077
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6089715027412388,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6636185416751132,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6071574474913229,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5502186335594208,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5856977446637133,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6228133025258351,4.515535951740068
DEPRESSIVE,8,25,28.0,37.0,4349.0,1032.0,0.026415094339622643,0.9915640674874601,0.4307692307692308,0.8082140866010036,0.049777777777777775,0.803709144326111,0.6619702268796944,6.779651404932876
ANXIETY,8,25,19.0,14.0,4667.0,746.0,0.02483660130718954,0.9970091860713522,0.5757575757575758,0.8621836319970442,0.047619047619047616,0.8604480352552332,0.666605928848788,4.819956161310346
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6138088688273697,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6612594493717618,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6090440926258996,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5395194108096044,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5741427121090079,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6212577968129191,4.515535951740068
DEPRESSIVE,8,25,23.0,24.0,4362.0,1037.0,0.02169811320754717,0.9945280437756497,0.48936170212765956,0.8079273939618448,0.04155374887082204,0.8051781123760559,0.6680042201171825,6.7289131372270585
ANXIETY,8,25,10.0,2.0,4679.0,755.0,0.013071895424836602,0.999572740867336,0.8333333333333334,0.86105999263894,0.02574002574002574,0.8609988982739626,0.6737157442197844,4.800928264807611
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6105692671303201,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.660579426323465,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6139652008881296,4.331616650334924
DEVELOPMENTAL,8,25,1.0,0.0,4372.0,1073.0,0.000931098696461825,1.0,1.0,0.8029384756657484,0.0018604651162790699,0.8029746603011384,0.5549618701027872,6.8050141519902985
