,X,Y
10096413,51.192753,-88.939545
10096417,110.15384,-48.415688
10097801,94.132484,85.274254
10191322,81.13035,-68.308716
10195113,-14.516334,-106.77285
10195114,70.06259,-22.60696
10195166,-42.40142,-5.8541503
10195173,48.413254,-34.423756
10195224,18.72907,66.15115
10196461,67.96385,-132.64703
10197540,18.559256,-162.58667
10198130,-42.2235,-85.85475
10200226,90.79458,-136.26524
10200303,-35.41604,147.1665
10200737,-137.48465,81.05911
10202575,76.86012,148.40347
10204547,11.112355,162.28769
10208571,17.93204,159.48187
10211469,-21.515211,-79.29171
10215087,-54.63851,41.823822
10216270,123.4919,-86.72664
10216273,-40.045296,-93.64377
10220229,70.90709,14.923234
10220461,-71.47046,15.873351
10227106,-90.16657,-36.94704
10230795,-22.010824,-70.47664
10233106,143.29718,-98.38039
10234026,-116.80622,-2.1264365
10318979,-49.349735,65.70871
10320379,0.106466025,-101.28135
10327898,-29.423573,20.33124
10327899,31.803349,139.47421
10329289,168.23782,-2.7293465
10332889,-59.535145,19.27462
10336657,-155.37155,32.43654
10348741,10.4323015,0.84171605
10349031,-119.24166,-56.406754
10349294,120.59443,-16.163591
10355673,59.469902,112.31546
10355678,-118.779945,12.247731
10355680,129.8643,11.623033
10356062,-31.04335,-57.659042
10366639,-93.13962,17.404167
10372081,75.60732,-124.735085
10376114,0.49656177,-18.834452
10380965,-78.11773,-40.576694
10382629,145.19006,-2.8801537
10385578,-1.2970039,-9.527727
10385581,135.7502,-61.439655
10385583,74.12739,-140.25706
10388796,-28.196953,-70.754524
10388797,87.06918,-55.14017
10388802,-43.493725,42.145653
10390028,62.192257,-85.69647
10392834,143.03484,-59.95787
10393989,-20.43349,-43.512238
10400241,149.25665,21.14013
10400972,-20.73711,-71.86291
10400975,171.84016,0.45024005
10401985,-33.13128,-68.75128
10402199,59.3715,-96.09938
10404202,18.228355,11.991154
10407049,80.84444,-128.14703
10407201,43.694798,-143.60284
10408647,105.42251,-14.18492
10417250,-120.02685,-114.34403
10426417,32.970932,-132.8059
10430951,31.669178,27.09121
10430955,152.07523,23.368849
10432180,-112.923355,-81.74393
10432182,-135.76466,-15.190215
10450253,-51.6198,129.25822
10450888,25.331102,32.530552
10450889,32.21356,23.789354
10454140,67.31552,-135.4247
10459394,-112.12583,110.0262
10459395,86.70549,137.69028
10468363,-80.515045,58.775547
10468515,-32.448574,-101.52683
10468516,82.59586,-58.01631
10468630,152.89531,66.58881
10471434,44.74482,13.784786
10471847,-142.84245,-75.50145
10471848,-155.15736,-66.868576
10473761,87.59314,-147.45358
10480271,30.216219,8.98203
10482257,77.962814,-133.81224
10482774,131.68758,-8.340876
10489865,29.479351,-164.05028
10493894,-162.98106,-31.939545
10493901,-37.247265,-112.56296
10493903,123.822655,-88.70653
10496688,5.897112,156.48747
10501805,-73.62103,37.966473
10506090,-5.4276547,-62.974346
10506099,74.125534,-132.90753
10509837,-4.008984,171.11757
10510191,91.73789,-146.72765
10511450,45.3238,-80.08234
10515983,-49.11696,-133.79343
10516320,-125.54907,94.28662
10518175,-80.58236,61.787067
10522888,25.224411,-36.640507
10523407,94.88611,-140.31119
10527065,-55.94426,38.750313
10531451,-76.00906,-46.830788
10534240,33.323433,37.252193
10545400,15.148473,47.041504
10547332,4.8090963,-26.26817
10554989,93.075424,-139.08136
10554992,-106.58299,-20.869326
10554993,140.75998,-59.686096
10557338,-43.530376,-41.452198
10559415,-11.051242,-94.57665
10561425,-3.9892704,-120.41369
10568854,-165.24835,8.404394
10571235,41.499916,-109.75081
10574350,43.961174,-86.33382
10581226,42.380955,-88.1261
10585521,159.35641,13.773533
10586971,148.08008,-5.8942
10591289,88.53283,-27.08
10591898,56.13849,20.17064
10594068,-30.65215,160.24715
10599862,-45.81013,125.03289
10600415,-43.14428,-53.650917
10600999,9.700877,53.81071
10601675,166.27676,21.021027
10601743,-7.3493586,-28.557816
10607401,53.997475,-91.02368
10611121,139.78122,-10.104087
10617288,52.546093,73.91737
10619415,5.264727,-94.80548
10619416,74.560905,6.706285
10624956,45.56257,-7.338539
10632617,-123.11935,14.458576
10634893,-52.893284,-119.130684
10634894,-20.564028,153.75786
10639391,135.67744,-36.970737
10639399,111.474724,65.88718
10641577,121.62222,118.834366
10643726,-34.19293,158.7994
10643727,122.44872,6.3750396
10643729,65.45569,-26.326801
10648437,31.592669,-69.27191
10648446,7.9675655,-104.19484
10651872,152.9492,31.011562
10659849,37.792187,-144.80664
10660227,130.80687,-84.39489
