PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
26452176,,,,,,,,,
27001827,,,,,,,,,
23154098,,,,,,,,,
26300386,,,,,,,,,
26937384,,,,,,,,,
22464726,,,,,,,,,
18096410,,,,,,,,,
28066207,,,,,,,,,
25977206,,,,,,,,,
19062135,,,,,,,,,
25084224,,,,,,,,,
22193727,,,,,,,,,
17133396,,,,,,,,,
19231480,,,,,,,,,
16549368,,,,,,,,,
15306654,,,,,,,,,
21791169,,,,,,,,,
15954141,,,,,,,,,
24772075,,,,,,,,,
19926457,,,,,,,,,
24368264,,,,,,,,,
15800041,,,,,,,,,
21914483,,,,,,,,,
25142207,,,,,,,,,
23827769,,,,,,,,,
22101493,,,,,,,,,
20419370,,,,,,,,,
17611124,,,,,,,,,
18387568,,,,,,,,,
21674694,,,,,,,,,
26190403,,,,,,,,,
26846350,,,,,,,,,
20385169,,,,,,,,,
22867993,,,,,,,,,
16045067,,,,,,,,,
19249748,,,,,,,,,
22069387,,,,,,,,,
27375419,,,,,,,,,
28513104,,,,,,,,,
23739983,,,,,,,,,
15993859,,,,,,,,,
24554726,,,,,,,,,
19280708,,,,,,,,,
22675292,,,,,,,,,
23482624,,,,,,,,,
23644912,,,,,,,,,
26336952,,,,,,,,,
23954109,,,,,,,,,
28823750,,,,,,,,,
25258037,,,,,,,,,
20964954,,,,,,,,,
16133128,,,,,,,,,
26575986,,,,,,,,,
22033368,,,,,,,,,
25282525,,,,,,,,,
28286318,,,,,,,,,
18003884,,,,,,,,,
21867758,,,,,,,,,
21568643,,,,,,,,,
27784627,,,,,,,,,
29163097,,,,,,,,,
17398078,,,,,,,,,
26484827,,,,,,,,,
29964186,,,,,,,,,
19925195,,,,,,,,,
26627482,,,,,,,,,
11848697,,,,,,,,,
23743260,,,,,,,,,
19320550,,,,,,,,,
21889196,,,,,,,,,
28029198,,,,,,,,,
11954059,,,,,,,,,
19925198,,,,,,,,,
15269107,,,,,,,,,
22892334,,,,,,,,,
25578794,,,,,,,,,
20884358,,,,,,,,,
24936421,,,,,,,,,
19100847,,,,,,,,,
22560503,,,,,,,,,
23222890,,,,,,,,,
26365506,,,,,,,,,
27216359,,,,,,,,,
27908591,,,,,,,,,
20350933,,,,,,,,,
12507726,,,,,,,,,
25534495,,,,,,,,,
24336349,,,,,,,,,
12518293,,,,,,,,,
18789907,,,,,,,,,
19818908,,,,,,,,,
23185360,,,,,,,,,
25037922,,,,,,,,,
24945664,,,,,,,,,
20040244,,,,,,,,,
26269633,,,,,,,,,
11897862,,,,,,,,,
18597797,,,,,,,,,
20519253,,,,,,,,,
26896629,,,,,,,,,
25400211,,,,,,,,,
18564039,,,,,,,,,
10600415,,,,,,,,,
24994972,,,,,,,,,
26113614,,,,,,,,,
18041743,,,,,,,,,
10936920,,,,,,,,,
26295336,,,,,,,,,
21829668,,,,,,,,,
12885854,,,,,,,,,
24019938,,,,,,,,,
25016248,,,,,,,,,
25220190,,,,,,,,,
24368143,,,,,,,,,
22663946,,,,,,,,,
21376126,,,,,,,,,
25698758,,,,,,,,,
26363618,,,,,,,,,
19101025,,,,,,,,,
23523804,,,,,,,,,
29109242,,,,,,,,,
21937201,,,,,,,,,
23355606,,,,,,,,,
18586275,,,,,,,,,
28459416,,,,,,,,,
10867223,,,,,,,,,
28890691,,,,,,,,,
20974688,,,,,,,,,
27257784,,,,,,,,,
25637267,,,,,,,,,
15850735,,,,,,,,,
21545724,,,,,,,,,
20430103,,,,,,,,,
26239178,,,,,,,,,
29727768,,,,,,,,,
24027516,,,,,,,,,
19559802,,,,,,,,,
23160817,,,,,,,,,
16757182,,,,,,,,,
12090812,,,,,,,,,
18678764,,,,,,,,,
14642466,,,,,,,,,
16367791,,,,,,,,,
12880840,,,,,,,,,
21687724,,,,,,,,,
20399838,,,,,,,,,
19058793,,,,,,,,,
24453170,,,,,,,,,
22428022,,,,,,,,,
11703464,,,,,,,,,
22963852,,,,,,,,,
25942576,,,,,,,,,
25309392,,,,,,,,,
20600994,,,,,,,,,
19181696,,,,,,,,,
11839364,,,,,,,,,
23261871,,,,,,,,,
19817808,,,,,,,,,
11053229,,,,,,,,,
25365800,,,,,,,,,
17543896,,,,,,,,,
21549637,,,,,,,,,
15563729,,,,,,,,,
11844731,,,,,,,,,
15006673,,,,,,,,,
28872638,,,,,,,,,
23183709,,,,,,,,,
18310578,,,,,,,,,
24917803,,,,,,,,,
22102548,,,,,,,,,
26873275,,,,,,,,,
20532906,,,,,,,,,
29100939,,,,,,,,,
18055928,,,,,,,,,
26918784,,,,,,,,,
28970145,,,,,,,,,
17344206,,,,,,,,,
19351579,,,,,,,,,
21092865,,,,,,,,,
26971253,,,,,,,,,
23207574,,,,,,,,,
25793883,,,,,,,,,
20656105,,,,,,,,,
28507895,,,,,,,,,
9025115,,,,,,,,,
28667540,,,,,,,,,
19249748,,,,,,,,,
19109452,,,,,,,,,
24619090,,,,,,,,,
14755837,,,,,,,,,
20962245,,,,,,,,,
20674279,,,,,,,,,
10356062,,,,,,,,,
25218661,,,,,,,,,
3653828,,,,,,,,,
19442752,,,,,,,,,
21672322,,,,,,,,,
28254454,,,,,,,,,
20451630,,,,,,,,,
12948699,,,,,,,,,
29414129,,,,,,,,,
18261930,,,,,,,,,
18768725,,,,,,,,,
22488096,,,,,,,,,
23163420,,,,,,,,,
16469446,,,,,,,,,
22367249,,,,,,,,,
18412133,,,,,,,,,
29751057,,,,,,,,,
15784435,,,,,,,,,
21497488,,,,,,,,,
25261745,,,,,,,,,
20650450,,,,,,,,,
29079398,,,,,,,,,
19666829,,,,,,,,,
24510607,,,,,,,,,
28174127,,,,,,,,,
19425830,,,,,,,,,
21834102,,,,,,,,,
28687518,,,,,,,,,
24824880,,,,,,,,,
20471139,,,,,,,,,
20434468,,,,,,,,,
28957344,,,,,,,,,
16318899,,,,,,,,,
18950528,,,,,,,,,
23527165,,,,,,,,,
24029699,,,,,,,,,
16280351,,,,,,,,,
23300977,,,,,,,,,
20006716,,,,,,,,,
8786445,,,,,,,,,
16360321,,,,,,,,,
27423254,,,,,,,,,
18433807,,,,,,,,,
21782395,,,,,,,,,
19781755,,,,,,,,,
25858603,,,,,,,,,
25603126,,,,,,,,,
24023609,,,,,,,,,
18577390,,,,,,,,,
23968837,,,,,,,,,
12177449,,,,,,,,,
27816780,,,,,,,,,
27103523,,,,,,,,,
21725037,,,,,,,,,
17407505,,,,,,,,,
27261161,,,,,,,,,
17884585,,,,,,,,,
22363273,,,,,,,,,
19684248,,,,,,,,,
23625045,,,,,,,,,
19393717,,,,,,,,,
16045067,,,,,,,,,
17884110,,,,,,,,,
16380270,,,,,,,,,
27853428,,,,,,,,,
17962925,,,,,,,,,
15275937,,,,,,,,,
22156722,,,,,,,,,
19349243,,,,,,,,,
26058801,,,,,,,,,
25188200,,,,,,,,,
14704217,,,,,,,,,
21559448,,,,,,,,,
28150320,,,,,,,,,
24558392,,,,,,,,,
22906785,,,,,,,,,
24661456,,,,,,,,,
27275601,,,,,,,,,
24650596,,,,,,,,,
25418860,,,,,,,,,
16516248,,,,,,,,,
16672290,,,,,,,,,
27090803,,,,,,,,,
26058607,,,,,,,,,
14568484,,,,,,,,,
24758944,,,,,,,,,
29126669,,,,,,,,,
15240435,,,,,,,,,
12763192,,,,,,,,,
8350282,,,,,,,,,
18829095,,,,,,,,,
27033686,,,,,,,,,
23759649,,,,,,,,,
28066207,,,,,,,,,
24027516,,,,,,,,,
29272791,,,,,,,,,
26510176,,,,,,,,,
12454910,,,,,,,,,
26019123,,,,,,,,,
23566889,,,,,,,,,
12126497,,,,,,,,,
20725639,,,,,,,,,
12599282,,,,,,,,,
25328839,,,,,,,,,
22221735,,,,,,,,,
23639347,,,,,,,,,
18768646,,,,,,,,,
18069004,,,,,,,,,
20338244,,,,,,,,,
21373203,,,,,,,,,
27876651,,,,,,,,,
17150984,,,,,,,,,
20659568,,,,,,,,,
22162145,,,,,,,,,
21618660,,,,,,,,,
28180076,,,,,,,,,
25098903,,,,,,,,,
21108990,,,,,,,,,
27391390,,,,,,,,,
22814662,,,,,,,,,
24005284,,,,,,,,,
12944506,,,,,,,,,
29101492,,,,,,,,,
20184807,,,,,,,,,
18056085,,,,,,,,,
22759337,,,,,,,,,
11438629,,,,,,,,,
12457760,,,,,,,,,
25681159,,,,,,,,,
23727315,,,,,,,,,
22855814,,,,,,,,,
15936179,,,,,,,,,
16574168,,,,,,,,,
26431906,,,,,,,,,
21889594,,,,,,,,,
19408112,,,,,,,,,
25462396,,,,,,,,,
24321557,,,,,,,,,
19309296,,,,,,,,,
16624581,,,,,,,,,
19573221,,,,,,,,,
25101865,,,,,,,,,
17576282,,,,,,,,,
29680789,,,,,,,,,
16227541,,,,,,,,,
20363236,,,,,,,,,
22110714,,,,,,,,,
28669909,,,,,,,,,
16759672,,,,,,,,,
