PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
25332108,,,,,,,,,
21246667,,,,,,,,,
26858432,,,,,,,,,
25147520,,,,,,,,,
24814210,,,,,,,,,
20572197,,,,,,,,,
19770058,,,,,,,,,
15109998,,,,,,,,,
18829694,,,,,,,,,
22539845,,,,,,,,,
17202543,,,,,,,,,
19926457,,,,,,,,,
23827769,,,,,,,,,
20617881,,,,,,,,,
22954741,,,,,,,,,
15183397,,,,,,,,,
27244237,,,,,,,,,
26969310,,,,,,,,,
27832450,,,,,,,,,
25807390,,,,,,,,,
28824399,,,,,,,,,
25246508,,,,,,,,,
19465135,,,,,,,,,
24119150,,,,,,,,,
29696725,,,,,,,,,
21254806,,,,,,,,,
26884544,,,,,,,,,
22287265,,,,,,,,,
25862263,,,,,,,,,
24735970,,,,,,,,,
23840533,,,,,,,,,
18388729,,,,,,,,,
23042731,,,,,,,,,
26160274,,,,,,,,,
18395979,,,,,,,,,
26649946,,,,,,,,,
21467049,,,,,,,,,
17452003,,,,,,,,,
12547471,,,,,,,,,
22776455,,,,,,,,,
25172156,,,,,,,,,
18248739,,,,,,,,,
11248000,,,,,,,,,
17594330,,,,,,,,,
26048176,,,,,,,,,
12112763,,,,,,,,,
22875902,,,,,,,,,
29767303,,,,,,,,,
19081580,,,,,,,,,
17202543,,,,,,,,,
23290498,,,,,,,,,
29058358,,,,,,,,,
19428222,,,,,,,,,
18752401,,,,,,,,,
23022108,,,,,,,,,
16624583,,,,,,,,,
21765184,,,,,,,,,
10327898,,,,,,,,,
27297241,,,,,,,,,
23318128,,,,,,,,,
12526781,,,,,,,,,
16949839,,,,,,,,,
18992825,,,,,,,,,
24795158,,,,,,,,,
24493846,,,,,,,,,
24560578,,,,,,,,,
21757013,,,,,,,,,
18768646,,,,,,,,,
28893526,,,,,,,,,
27473167,,,,,,,,,
21255663,,,,,,,,,
27392071,,,,,,,,,
18088583,,,,,,,,,
25355487,,,,,,,,,
27625311,,,,,,,,,
27647282,,,,,,,,,
16024258,,,,,,,,,
29341386,,,,,,,,,
28077514,,,,,,,,,
23349222,,,,,,,,,
16701214,,,,,,,,,
25642386,,,,,,,,,
25859660,,,,,,,,,
18454447,,,,,,,,,
17644222,,,,,,,,,
8405250,,,,,,,,,
28833921,,,,,,,,,
17850833,,,,,,,,,
21958650,,,,,,,,,
16125741,,,,,,,,,
15737663,,,,,,,,,
15528085,,,,,,,,,
12595196,,,,,,,,,
17850833,,,,,,,,,
17596422,,,,,,,,,
23568365,,,,,,,,,
29403367,,,,,,,,,
24656768,,,,,,,,,
16859416,,,,,,,,,
18041740,,,,,,,,,
15193624,,,,,,,,,
27391083,,,,,,,,,
28634439,,,,,,,,,
20114081,,,,,,,,,
28553214,,,,,,,,,
11287137,,,,,,,,,
26791228,,,,,,,,,
25275449,,,,,,,,,
24828639,,,,,,,,,
11960893,,,,,,,,,
20573575,,,,,,,,,
16543137,,,,,,,,,
28970788,,,,,,,,,
19091969,,,,,,,,,
19527788,,,,,,,,,
22206964,,,,,,,,,
27001453,,,,,,,,,
23348760,,,,,,,,,
25914635,,,,,,,,,
11313298,,,,,,,,,
19074015,,,,,,,,,
26026707,,,,,,,,,
12571120,,,,,,,,,
16738254,,,,,,,,,
16469446,,,,,,,,,
16518010,,,,,,,,,
25976923,,,,,,,,,
24493847,,,,,,,,,
16452664,,,,,,,,,
19136097,,,,,,,,,
19693783,,,,,,,,,
18793731,,,,,,,,,
26301900,,,,,,,,,
16919479,,,,,,,,,
28827095,,,,,,,,,
12692460,,,,,,,,,
21684531,,,,,,,,,
19320552,,,,,,,,,
26057359,,,,,,,,,
25798918,,,,,,,,,
25834938,,,,,,,,,
12151759,,,,,,,,,
18424181,,,,,,,,,
14594746,,,,,,,,,
18476756,,,,,,,,,
12414270,,,,,,,,,
19653919,,,,,,,,,
28009080,,,,,,,,,
16109491,,,,,,,,,
20590729,,,,,,,,,
15593269,,,,,,,,,
23178105,,,,,,,,,
25120447,,,,,,,,,
22516588,,,,,,,,,
26208746,,,,,,,,,
15056518,,,,,,,,,
8642418,,,,,,,,,
16525049,,,,,,,,,
26216278,,,,,,,,,
23751864,,,,,,,,,
21569800,,,,,,,,,
28009076,,,,,,,,,
16162854,,,,,,,,,
27887859,,,,,,,,,
12948707,,,,,,,,,
26244278,,,,,,,,,
23675408,,,,,,,,,
22438291,,,,,,,,,
22460723,,,,,,,,,
25246514,,,,,,,,,
24185016,,,,,,,,,
7714579,,,,,,,,,
23077058,,,,,,,,,
23179063,,,,,,,,,
26106551,,,,,,,,,
25534114,,,,,,,,,
16176365,,,,,,,,,
26420279,,,,,,,,,
12067701,,,,,,,,,
20965253,,,,,,,,,
11697948,,,,,,,,,
28430039,,,,,,,,,
28256199,,,,,,,,,
9389221,,,,,,,,,
23501052,,,,,,,,,
23097317,,,,,,,,,
18848743,,,,,,,,,
9559951,,,,,,,,,
26842842,,,,,,,,,
25631917,,,,,,,,,
28597338,,,,,,,,,
23585869,,,,,,,,,
17321151,,,,,,,,,
10679185,,,,,,,,,
25379421,,,,,,,,,
28345150,,,,,,,,,
21800252,,,,,,,,,
16280463,,,,,,,,,
15513929,,,,,,,,,
26302670,,,,,,,,,
22414593,,,,,,,,,
19710179,,,,,,,,,
19853585,,,,,,,,,
25623846,,,,,,,,,
20123027,,,,,,,,,
22525875,,,,,,,,,
20600968,,,,,,,,,
15709131,,,,,,,,,
18651173,,,,,,,,,
26106565,,,,,,,,,
17110592,,,,,,,,,
21679770,,,,,,,,,
23926060,,,,,,,,,
28575483,,,,,,,,,
15894493,,,,,,,,,
18805589,,,,,,,,,
26195294,,,,,,,,,
11284045,,,,,,,,,
18674847,,,,,,,,,
20970506,,,,,,,,,
12595201,,,,,,,,,
25498429,,,,,,,,,
18055028,,,,,,,,,
26594628,,,,,,,,,
19560123,,,,,,,,,
26503586,,,,,,,,,
15664795,,,,,,,,,
22119187,,,,,,,,,
20022675,,,,,,,,,
25731996,,,,,,,,,
20420931,,,,,,,,,
16520064,,,,,,,,,
26167916,,,,,,,,,
20728550,,,,,,,,,
20727412,,,,,,,,,
8805700,,,,,,,,,
23912681,,,,,,,,,
16626972,,,,,,,,,
22116037,,,,,,,,,
26070260,,,,,,,,,
19594507,,,,,,,,,
27177762,,,,,,,,,
21315627,,,,,,,,,
14743365,,,,,,,,,
25246508,,,,,,,,,
29305750,,,,,,,,,
21764567,,,,,,,,,
15700721,,,,,,,,,
17010420,,,,,,,,,
22580382,,,,,,,,,
29324299,,,,,,,,,
28180069,,,,,,,,,
19201515,,,,,,,,,
17331476,,,,,,,,,
11431234,,,,,,,,,
12880911,,,,,,,,,
28688264,,,,,,,,,
9740761,,,,,,,,,
8784224,,,,,,,,,
27074031,,,,,,,,,
17303439,,,,,,,,,
24642753,,,,,,,,,
28780219,,,,,,,,,
25935723,,,,,,,,,
10729346,,,,,,,,,
29108941,,,,,,,,,
23968839,,,,,,,,,
26441332,,,,,,,,,
14704217,,,,,,,,,
26192817,,,,,,,,,
21906686,,,,,,,,,
23899724,,,,,,,,,
19179050,,,,,,,,,
11567063,,,,,,,,,
25970523,,,,,,,,,
29753993,,,,,,,,,
17483530,,,,,,,,,
16861334,,,,,,,,,
20728556,,,,,,,,,
11157564,,,,,,,,,
26148135,,,,,,,,,
15528085,,,,,,,,,
20226767,,,,,,,,,
23359269,,,,,,,,,
9571103,,,,,,,,,
14642287,,,,,,,,,
27466342,,,,,,,,,
23201229,,,,,,,,,
21175614,,,,,,,,,
12595196,,,,,,,,,
11386470,,,,,,,,,
10385581,,,,,,,,,
27355179,,,,,,,,,
22479243,,,,,,,,,
19302163,,,,,,,,,
18985141,,,,,,,,,
10769317,,,,,,,,,
25617820,,,,,,,,,
16556505,,,,,,,,,
14683724,,,,,,,,,
16480742,,,,,,,,,
15351628,,,,,,,,,
16005646,,,,,,,,,
22687465,,,,,,,,,
10864232,,,,,,,,,
18806920,,,,,,,,,
29163097,,,,,,,,,
20731637,,,,,,,,,
12738341,,,,,,,,,
25610794,,,,,,,,,
21236649,,,,,,,,,
24742863,,,,,,,,,
20532490,,,,,,,,,
24185022,,,,,,,,,
18042495,,,,,,,,,
24874919,,,,,,,,,
21718969,,,,,,,,,
17658273,,,,,,,,,
15190354,,,,,,,,,
27504262,,,,,,,,,
26937385,,,,,,,,,
19036975,,,,,,,,,
25800210,,,,,,,,,
11931949,,,,,,,,,
18424181,,,,,,,,,
12718865,,,,,,,,,
22561022,,,,,,,,,
29749660,,,,,,,,,
25205659,,,,,,,,,
12690048,,,,,,,,,
22579495,,,,,,,,,
27867102,,,,,,,,,
21151362,,,,,,,,,
24688465,,,,,,,,,
25067816,,,,,,,,,
26908322,,,,,,,,,
27012986,,,,,,,,,
23600977,,,,,,,,,
15564587,,,,,,,,,
24376411,,,,,,,,,
28708977,,,,,,,,,
23435206,,,,,,,,,
12459213,,,,,,,,,
16880131,,,,,,,,,
21703352,,,,,,,,,
25534114,,,,,,,,,
19889712,,,,,,,,,
27172859,,,,,,,,,
20883800,,,,,,,,,
22363273,,,,,,,,,
17894398,,,,,,,,,
20056155,,,,,,,,,
14642491,,,,,,,,,
10506090,,,,,,,,,
28992531,,,,,,,,,
17211439,,,,,,,,,
22569063,,,,,,,,,
15238438,,,,,,,,,
18325789,,,,,,,,,
21586332,,,,,,,,,
23410736,,,,,,,,,
16983390,,,,,,,,,
25012683,,,,,,,,,
20026227,,,,,,,,,
12953303,,,,,,,,,
19166948,,,,,,,,,
18329904,,,,,,,,,
15994572,,,,,,,,,
23383244,,,,,,,,,
15496671,,,,,,,,,
27307227,,,,,,,,,
20833223,,,,,,,,,
17337346,,,,,,,,,
26454335,,,,,,,,,
19631753,,,,,,,,,
20362682,,,,,,,,,
1519476,,,,,,,,,
21369855,,,,,,,,,
20441798,,,,,,,,,
16828063,,,,,,,,,
22367249,,,,,,,,,
27375466,,,,,,,,,
26378734,,,,,,,,,
21467049,,,,,,,,,
29676512,,,,,,,,,
18752410,,,,,,,,,
15901490,,,,,,,,,
27542724,,,,,,,,,
25986304,,,,,,,,,
27091970,,,,,,,,,
29760180,,,,,,,,,
9183248,,,,,,,,,
28424597,,,,,,,,,
17675111,,,,,,,,,
25183555,,,,,,,,,
18698363,,,,,,,,,
20302951,,,,,,,,,
24760013,,,,,,,,,
25679386,,,,,,,,,
23097300,,,,,,,,,
10601675,,,,,,,,,
26478962,,,,,,,,,
18292747,,,,,,,,,
29673483,,,,,,,,,
18372293,,,,,,,,,
19666085,,,,,,,,,
22969702,,,,,,,,,
23754994,,,,,,,,,
22242146,,,,,,,,,
19427907,,,,,,,,,
19463891,,,,,,,,,
17476364,,,,,,,,,
26608776,,,,,,,,,
19375076,,,,,,,,,
25541190,,,,,,,,,
16165102,,,,,,,,,
26134642,,,,,,,,,
15325357,,,,,,,,,
25862416,,,,,,,,,
23200527,,,,,,,,,
27291455,,,,,,,,,
28634439,,,,,,,,,
18094020,,,,,,,,,
27690125,,,,,,,,,
24793833,,,,,,,,,
26302674,,,,,,,,,
16723518,,,,,,,,,
17010420,,,,,,,,,
22847930,,,,,,,,,
24375687,,,,,,,,,
21458471,,,,,,,,,
25480358,,,,,,,,,
15734345,,,,,,,,,
21275978,,,,,,,,,
22719723,,,,,,,,,
26767945,,,,,,,,,
28377075,,,,,,,,,
21396384,,,,,,,,,
11167061,,,,,,,,,
22306196,,,,,,,,,
23107380,,,,,,,,,
23670989,,,,,,,,,
16706858,,,,,,,,,
20413149,,,,,,,,,
20148332,,,,,,,,,
27142051,,,,,,,,,
18395472,,,,,,,,,
25855089,,,,,,,,,
23552077,,,,,,,,,
20922809,,,,,,,,,
11257978,,,,,,,,,
18303983,,,,,,,,,
25987597,,,,,,,,,
24029377,,,,,,,,,
27803656,,,,,,,,,
10679187,,,,,,,,,
28707138,,,,,,,,,
21734252,,,,,,,,,
15862222,,,,,,,,,
21262242,,,,,,,,,
20974266,,,,,,,,,
16616520,,,,,,,,,
28824399,,,,,,,,,
17336344,,,,,,,,,
20688877,,,,,,,,,
16188459,,,,,,,,,
23796547,,,,,,,,,
20826428,,,,,,,,,
23526961,,,,,,,,,
12732667,,,,,,,,,
21554964,,,,,,,,,
28324695,,,,,,,,,
23813738,,,,,,,,,
28434159,,,,,,,,,
20045474,,,,,,,,,
20570736,,,,,,,,,
27811962,,,,,,,,,
23327933,,,,,,,,,
28560777,,,,,,,,,
19016606,,,,,,,,,
19446795,,,,,,,,,
23832422,,,,,,,,,
21600637,,,,,,,,,
9787003,,,,,,,,,
28438531,,,,,,,,,
15511655,,,,,,,,,
21864560,,,,,,,,,
18771738,,,,,,,,,
28384269,,,,,,,,,
25445783,,,,,,,,,
24223847,,,,,,,,,
24493842,,,,,,,,,
15182316,,,,,,,,,
25289490,,,,,,,,,
9696465,,,,,,,,,
27199653,,,,,,,,,
18691703,,,,,,,,,
29691941,,,,,,,,,
21955165,,,,,,,,,
20739194,,,,,,,,,
20083395,,,,,,,,,
29341341,,,,,,,,,
15050566,,,,,,,,,
25045065,,,,,,,,,
24107952,,,,,,,,,
25339747,,,,,,,,,
19527788,,,,,,,,,
19188539,,,,,,,,,
25873853,,,,,,,,,
24633532,,,,,,,,,
18097993,,,,,,,,,
20032238,,,,,,,,,
20932721,,,,,,,,,
27374278,,,,,,,,,
22522963,,,,,,,,,
24204812,,,,,,,,,
8896772,,,,,,,,,
25935693,,,,,,,,,
18950748,,,,,,,,,
28901711,,,,,,,,,
29516603,,,,,,,,,
19890846,,,,,,,,,
21447350,,,,,,,,,
23984945,,,,,,,,,
27479922,,,,,,,,,
21376065,,,,,,,,,
28650994,,,,,,,,,
19587274,,,,,,,,,
14615433,,,,,,,,,
18295746,,,,,,,,,
21144497,,,,,,,,,
15453976,,,,,,,,,
26708521,,,,,,,,,
22186678,,,,,,,,,
19643122,,,,,,,,,
26123376,,,,,,,,,
19674398,,,,,,,,,
16762567,,,,,,,,,
11257978,,,,,,,,,
22541167,,,,,,,,,
25796490,,,,,,,,,
25223951,,,,,,,,,
11352616,,,,,,,,,
27796303,,,,,,,,,
22330313,,,,,,,,,
24952616,,,,,,,,,
16767087,,,,,,,,,
25086858,,,,,,,,,
16896957,,,,,,,,,
23904618,,,,,,,,,
27987539,,,,,,,,,
22995779,,,,,,,,,
20630656,,,,,,,,,
26257635,,,,,,,,,
16959393,,,,,,,,,
30009130,,,,,,,,,
23816374,,,,,,,,,
16182570,,,,,,,,,
28352220,,,,,,,,,
20534850,,,,,,,,,
29867204,,,,,,,,,
17113931,,,,,,,,,
23904618,,,,,,,,,
21645415,,,,,,,,,
16540351,,,,,,,,,
17101687,,,,,,,,,
18706701,,,,,,,,,
16962075,,,,,,,,,
22230948,,,,,,,,,
12797966,,,,,,,,,
21425391,,,,,,,,,
17229828,,,,,,,,,
27662482,,,,,,,,,
21414916,,,,,,,,,
27522332,,,,,,,,,
29705066,,,,,,,,,
18985118,,,,,,,,,
29737489,,,,,,,,,
17022954,,,,,,,,,
22227457,,,,,,,,,
28648917,,,,,,,,,
20428109,,,,,,,,,
19291231,,,,,,,,,
10198130,,,,,,,,,
23658538,,,,,,,,,
21813693,,,,,,,,,
18510448,,,,,,,,,
16038685,,,,,,,,,
17251412,,,,,,,,,
28785212,,,,,,,,,
22584229,,,,,,,,,
24899718,,,,,,,,,
15358857,,,,,,,,,
26116812,,,,,,,,,
22845892,,,,,,,,,
24893344,,,,,,,,,
21593327,,,,,,,,,
27864079,,,,,,,,,
11353732,,,,,,,,,
27654662,,,,,,,,,
17224134,,,,,,,,,
17335325,,,,,,,,,
23151990,,,,,,,,,
10913506,,,,,,,,,
22174872,,,,,,,,,
14568474,,,,,,,,,
17906328,,,,,,,,,
23807175,,,,,,,,,
19703572,,,,,,,,,
20084104,,,,,,,,,
25226035,,,,,,,,,
22140014,,,,,,,,,
19174537,,,,,,,,,
22387168,,,,,,,,,
21391251,,,,,,,,,
28168598,,,,,,,,,
9648549,,,,,,,,,
29705066,,,,,,,,,
26892856,,,,,,,,,
22323419,,,,,,,,,
28993482,,,,,,,,,
28746902,,,,,,,,,
25797657,,,,,,,,,
22032944,,,,,,,,,
23773952,,,,,,,,,
29880255,,,,,,,,,
26660857,,,,,,,,,
18783864,,,,,,,,,
21943609,,,,,,,,,
24449585,,,,,,,,,
21249224,,,,,,,,,
20703959,,,,,,,,,
24163364,,,,,,,,,
22139633,,,,,,,,,
26441595,,,,,,,,,
15050725,,,,,,,,,
29611256,,,,,,,,,
18302724,,,,,,,,,
17321757,,,,,,,,,
25502775,,,,,,,,,
15339824,,,,,,,,,
12414272,,,,,,,,,
21680845,,,,,,,,,
25071432,,,,,,,,,
25218414,,,,,,,,,
23986239,,,,,,,,,
25798082,,,,,,,,,
15955476,,,,,,,,,
18769538,,,,,,,,,
17088375,,,,,,,,,
18952675,,,,,,,,,
25156160,,,,,,,,,
18724253,,,,,,,,,
24475313,,,,,,,,,
29375348,,,,,,,,,
18597797,,,,,,,,,
23720616,,,,,,,,,
26385540,,,,,,,,,
16957073,,,,,,,,,
10933212,,,,,,,,,
11545466,,,,,,,,,
17050704,,,,,,,,,
7708745,,,,,,,,,
20071521,,,,,,,,,
25711137,,,,,,,,,
22759716,,,,,,,,,
16876434,,,,,,,,,
23591073,,,,,,,,,
21888981,,,,,,,,,
18550763,,,,,,,,,
15705615,,,,,,,,,
29702433,,,,,,,,,
19539035,,,,,,,,,
25632152,,,,,,,,,
14568502,,,,,,,,,
16423439,,,,,,,,,
18554928,,,,,,,,,
29729394,,,,,,,,,
27079535,,,,,,,,,
26017384,,,,,,,,,
26952886,,,,,,,,,
20035885,,,,,,,,,
19683225,,,,,,,,,
24685436,,,,,,,,,
15006649,,,,,,,,,
21692882,,,,,,,,,
23542499,,,,,,,,,
19594508,,,,,,,,,
20232398,,,,,,,,,
25463814,,,,,,,,,
16780808,,,,,,,,,
19925187,,,,,,,,,
24275213,,,,,,,,,
18992072,,,,,,,,,
24076099,,,,,,,,,
12672539,,,,,,,,,
19647799,,,,,,,,,
20562319,,,,,,,,,
11133306,,,,,,,,,
24793833,,,,,,,,,
27766586,,,,,,,,,
11859197,,,,,,,,,
26977802,,,,,,,,,
23422330,,,,,,,,,
10944415,,,,,,,,,
17046160,,,,,,,,,
24097059,,,,,,,,,
22395084,,,,,,,,,
14615626,,,,,,,,,
15178381,,,,,,,,,
16473449,,,,,,,,,
23974949,,,,,,,,,
28844425,,,,,,,,,
22108504,,,,,,,,,
11595391,,,,,,,,,
20851164,,,,,,,,,
23759649,,,,,,,,,
28282414,,,,,,,,,
29084283,,,,,,,,,
15499576,,,,,,,,,
24904992,,,,,,,,,
21291959,,,,,,,,,
26901360,,,,,,,,,
25448398,,,,,,,,,
20739194,,,,,,,,,
22941499,,,,,,,,,
23937918,,,,,,,,,
15204327,,,,,,,,,
28957777,,,,,,,,,
15488401,,,,,,,,,
15196652,,,,,,,,,
29020651,,,,,,,,,
28126471,,,,,,,,,
19733188,,,,,,,,,
28408872,,,,,,,,,
20573339,,,,,,,,,
22522783,,,,,,,,,
21889594,,,,,,,,,
17214562,,,,,,,,,
17383616,,,,,,,,,
9345509,,,,,,,,,
21596142,,,,,,,,,
21763432,,,,,,,,,
17978031,,,,,,,,,
18256251,,,,,,,,,
23660871,,,,,,,,,
23423461,,,,,,,,,
19422920,,,,,,,,,
18588532,,,,,,,,,
22440654,,,,,,,,,
23296187,,,,,,,,,
18585060,,,,,,,,,
12030830,,,,,,,,,
26347635,,,,,,,,,
11017179,,,,,,,,,
19167729,,,,,,,,,
19349243,,,,,,,,,
19621242,,,,,,,,,
23852814,,,,,,,,,
16275141,,,,,,,,,
15936178,,,,,,,,,
19920058,,,,,,,,,
16246532,,,,,,,,,
25961641,,,,,,,,,
26786150,,,,,,,,,
27799903,,,,,,,,,
21709174,,,,,,,,,
19309321,,,,,,,,,
28193868,,,,,,,,,
14755597,,,,,,,,,
10329289,,,,,,,,,
21458852,,,,,,,,,
26186232,,,,,,,,,
10348741,,,,,,,,,
17596422,,,,,,,,,
18752409,,,,,,,,,
8904757,,,,,,,,,
21963911,,,,,,,,,
18410362,,,,,,,,,
21376543,,,,,,,,,
18509023,,,,,,,,,
25344114,,,,,,,,,
20542121,,,,,,,,,
24683511,,,,,,,,,
15627591,,,,,,,,,
28884209,,,,,,,,,
17768265,,,,,,,,,
24904366,,,,,,,,,
25563748,,,,,,,,,
27738997,,,,,,,,,
21111828,,,,,,,,,
19716894,,,,,,,,,
24040178,,,,,,,,,
16949303,,,,,,,,,
14683701,,,,,,,,,
23404563,,,,,,,,,
23891904,,,,,,,,,
21743819,,,,,,,,,
29288994,,,,,,,,,
29197665,,,,,,,,,
9894875,,,,,,,,,
20510255,,,,,,,,,
16036149,,,,,,,,,
25586959,,,,,,,,,
27314671,,,,,,,,,
21427167,,,,,,,,,
16754652,,,,,,,,,
25659130,,,,,,,,,
24412687,,,,,,,,,
22451481,,,,,,,,,
19592571,,,,,,,,,
22910372,,,,,,,,,
15449355,,,,,,,,,
26584868,,,,,,,,,
25600108,,,,,,,,,
26048952,,,,,,,,,
24166407,,,,,,,,,
23403412,,,,,,,,,
12559653,,,,,,,,,
17897405,,,,,,,,,
22978709,,,,,,,,,
24937544,,,,,,,,,
28289225,,,,,,,,,
16926102,,,,,,,,,
21458238,,,,,,,,,
16414281,,,,,,,,,
21109578,,,,,,,,,
20157743,,,,,,,,,
27917451,,,,,,,,,
23246859,,,,,,,,,
16919479,,,,,,,,,
11931750,,,,,,,,,
28496399,,,,,,,,,
12590844,,,,,,,,,
19539711,,,,,,,,,
23064107,,,,,,,,,
15907318,,,,,,,,,
21914483,,,,,,,,,
21181786,,,,,,,,,
25390206,,,,,,,,,
22580171,,,,,,,,,
29311879,,,,,,,,,
14741108,,,,,,,,,
16087352,,,,,,,,,
22732558,,,,,,,,,
22126670,,,,,,,,,
26519093,,,,,,,,,
19216061,,,,,,,,,
28529876,,,,,,,,,
24454814,,,,,,,,,
22207247,,,,,,,,,
20886578,,,,,,,,,
21840627,,,,,,,,,
23791396,,,,,,,,,
16188459,,,,,,,,,
12203685,,,,,,,,,
23398652,,,,,,,,,
23684860,,,,,,,,,
23448868,,,,,,,,,
17885578,,,,,,,,,
18752410,,,,,,,,,
11525320,,,,,,,,,
25137414,,,,,,,,,
24910070,,,,,,,,,
17156391,,,,,,,,,
19494153,,,,,,,,,
16330500,,,,,,,,,
21612768,,,,,,,,,
26585221,,,,,,,,,
23094678,,,,,,,,,
22015854,,,,,,,,,
17683792,,,,,,,,,
28619530,,,,,,,,,
16973382,,,,,,,,,
23131612,,,,,,,,,
28123033,,,,,,,,,
21145212,,,,,,,,,
27510407,,,,,,,,,
15858160,,,,,,,,,
23425892,,,,,,,,,
17112745,,,,,,,,,
15654860,,,,,,,,,
24813149,,,,,,,,,
22807895,,,,,,,,,
29266498,,,,,,,,,
16648454,,,,,,,,,
10220461,,,,,,,,,
22006990,,,,,,,,,
29311776,,,,,,,,,
14683700,,,,,,,,,
17942736,,,,,,,,,
15050867,,,,,,,,,
29880254,,,,,,,,,
27975159,,,,,,,,,
25150928,,,,,,,,,
26791206,,,,,,,,,
25697049,,,,,,,,,
24236043,,,,,,,,,
22937001,,,,,,,,,
28689008,,,,,,,,,
28289200,,,,,,,,,
27714550,,,,,,,,,
23514930,,,,,,,,,
21922603,,,,,,,,,
19457385,,,,,,,,,
29107120,,,,,,,,,
15006657,,,,,,,,,
28893588,,,,,,,,,
11034859,,,,,,,,,
18258337,,,,,,,,,
20688877,,,,,,,,,
28560160,,,,,,,,,
26975550,,,,,,,,,
16412236,,,,,,,,,
26106572,,,,,,,,,
28039796,,,,,,,,,
23730277,,,,,,,,,
21232578,,,,,,,,,
20357127,,,,,,,,,
11002354,,,,,,,,,
23870836,,,,,,,,,
24903120,,,,,,,,,
25183886,,,,,,,,,
27378028,,,,,,,,,
20851194,,,,,,,,,
25505337,,,,,,,,,
19721434,,,,,,,,,
11050021,,,,,,,,,
25208740,,,,,,,,,
28131236,,,,,,,,,
27198485,,,,,,,,,
12377169,,,,,,,,,
26211623,,,,,,,,,
19201210,,,,,,,,,
29249930,,,,,,,,,
22871393,,,,,,,,,
29437891,,,,,,,,,
10700305,,,,,,,,,
27672557,,,,,,,,,
22423114,,,,,,,,,
16616048,,,,,,,,,
22499797,,,,,,,,,
24675869,,,,,,,,,
24411473,,,,,,,,,
10884059,,,,,,,,,
20584720,,,,,,,,,
24508158,,,,,,,,,
9787003,,,,,,,,,
19400682,,,,,,,,,
17034034,,,,,,,,,
21812560,,,,,,,,,
18475275,,,,,,,,,
19016602,,,,,,,,,
22101380,,,,,,,,,
23246859,,,,,,,,,
21414916,,,,,,,,,
25842293,,,,,,,,,
24047390,,,,,,,,,
25673851,,,,,,,,,
25037922,,,,,,,,,
23867736,,,,,,,,,
25788668,,,,,,,,,
26082707,,,,,,,,,
18633852,,,,,,,,,
25143614,,,,,,,,,
25615565,,,,,,,,,
22351648,,,,,,,,,
23033058,,,,,,,,,
22819950,,,,,,,,,
19112507,,,,,,,,,
16499767,,,,,,,,,
12676062,,,,,,,,,
12145327,,,,,,,,,
23748499,,,,,,,,,
20965253,,,,,,,,,
15953396,,,,,,,,,
14699431,,,,,,,,,
22131418,,,,,,,,,
20164352,,,,,,,,,
22912831,,,,,,,,,
