,negative,positive,cognitive,social,arousal_regulatory
3298565,0.0449438202247191,0.18032786885245902,0.10975609756097561,0.1320754716981132,0.18095238095238095
3653828,0.033707865168539325,0.14754098360655737,0.10975609756097561,0.05660377358490566,0.08571428571428572
3875696,0.07865168539325842,0.21311475409836064,0.2682926829268293,0.20754716981132076,0.1619047619047619
7472384,0.056179775280898875,0.14754098360655737,0.15853658536585366,0.11320754716981132,0.10476190476190476
7479961,0.06741573033707865,0.09836065573770492,0.15853658536585366,0.1320754716981132,0.0761904761904762
7485619,0.10112359550561797,0.16393442622950818,0.2804878048780488,0.24528301886792453,0.14285714285714285
7488733,0.06741573033707865,0.09836065573770492,0.17073170731707318,0.1320754716981132,0.09523809523809523
7569934,0.10112359550561797,0.16393442622950818,0.2073170731707317,0.20754716981132076,0.1523809523809524
7708745,0.033707865168539325,0.09836065573770492,0.10975609756097561,0.11320754716981132,0.09523809523809523
7714579,0.07865168539325842,0.18032786885245902,0.2073170731707317,0.20754716981132076,0.14285714285714285
7811563,0.011235955056179775,0.04918032786885246,0.08536585365853659,0.018867924528301886,0.09523809523809523
7820564,0.06741573033707865,0.16393442622950818,0.3048780487804878,0.20754716981132076,0.1523809523809524
7820565,0.056179775280898875,0.13114754098360656,0.15853658536585366,0.09433962264150944,0.13333333333333333
7846080,0.056179775280898875,0.26229508196721313,0.18292682926829268,0.16981132075471697,0.10476190476190476
7850422,0.0449438202247191,0.08196721311475409,0.13414634146341464,0.09433962264150944,0.08571428571428572
7864258,0.23595505617977527,0.19672131147540983,0.32926829268292684,0.2641509433962264,0.13333333333333333
7865775,0.0449438202247191,0.09836065573770492,0.13414634146341464,0.07547169811320754,0.06666666666666667
7922456,0.06741573033707865,0.18032786885245902,0.21951219512195122,0.16981132075471697,0.13333333333333333
7925790,0.06741573033707865,0.18032786885245902,0.14634146341463414,0.1509433962264151,0.08571428571428572
7935791,0.011235955056179775,0.09836065573770492,0.06097560975609756,0.07547169811320754,0.02857142857142857
7953589,0.056179775280898875,0.16393442622950818,0.2073170731707317,0.16981132075471697,0.20952380952380953
8027764,0.14606741573033707,0.14754098360655737,0.2804878048780488,0.1509433962264151,0.2
8038933,0.12359550561797752,0.21311475409836064,0.18292682926829268,0.1320754716981132,0.10476190476190476
8207487,0.07865168539325842,0.14754098360655737,0.1951219512195122,0.1320754716981132,0.13333333333333333
8232848,0.11235955056179775,0.2786885245901639,0.21951219512195122,0.16981132075471697,0.19047619047619047
8286936,0.12359550561797752,0.13114754098360656,0.2804878048780488,0.20754716981132076,0.12380952380952381
8350282,0.056179775280898875,0.19672131147540983,0.13414634146341464,0.11320754716981132,0.1619047619047619
8405250,0.0449438202247191,0.11475409836065574,0.036585365853658534,0.05660377358490566,0.05714285714285714
8410148,0.0898876404494382,0.13114754098360656,0.24390243902439024,0.18867924528301888,0.12380952380952381
8430100,0.0449438202247191,0.13114754098360656,0.13414634146341464,0.09433962264150944,0.05714285714285714
8430101,0.033707865168539325,0.13114754098360656,0.15853658536585366,0.16981132075471697,0.10476190476190476
8441008,0.07865168539325842,0.26229508196721313,0.25609756097560976,0.18867924528301888,0.18095238095238095
8480815,0.12359550561797752,0.16393442622950818,0.18292682926829268,0.16981132075471697,0.10476190476190476
8524452,0.0898876404494382,0.22950819672131148,0.2804878048780488,0.18867924528301888,0.1619047619047619
8551361,0.0449438202247191,0.21311475409836064,0.1951219512195122,0.1509433962264151,0.11428571428571428
8556839,0.0449438202247191,0.19672131147540983,0.32926829268292684,0.18867924528301888,0.14285714285714285
8592204,0.06741573033707865,0.13114754098360656,0.21951219512195122,0.20754716981132076,0.10476190476190476
8592206,0.0449438202247191,0.11475409836065574,0.10975609756097561,0.09433962264150944,0.09523809523809523
8595189,0.02247191011235955,0.08196721311475409,0.07317073170731707,0.05660377358490566,0.047619047619047616
8606767,0.0449438202247191,0.11475409836065574,0.1951219512195122,0.1509433962264151,0.10476190476190476
8606771,0.02247191011235955,0.09836065573770492,0.17073170731707318,0.1509433962264151,0.09523809523809523
8624678,0.10112359550561797,0.19672131147540983,0.34146341463414637,0.24528301886792453,0.1619047619047619
8628399,0.0449438202247191,0.03278688524590164,0.10975609756097561,0.09433962264150944,0.05714285714285714
8642414,0.056179775280898875,0.16393442622950818,0.21951219512195122,0.16981132075471697,0.17142857142857143
8642416,0.07865168539325842,0.11475409836065574,0.23170731707317074,0.16981132075471697,0.14285714285714285
8642418,0.033707865168539325,0.06557377049180328,0.18292682926829268,0.1509433962264151,0.08571428571428572
8656296,0.0449438202247191,0.14754098360655737,0.23170731707317074,0.1320754716981132,0.1523809523809524
8670634,0.0898876404494382,0.21311475409836064,0.17073170731707318,0.11320754716981132,0.1523809523809524
